Category,Name,MRP,Discount_Percentage,Available_Quantity,Discounted_Selling_Price,weight_In_Gms,Out_Of_Stock,Quantity,Discount_Amount,Discount %,Total Revenue,Price_Per_Gms,MRP Category
Ice Cream & Desserts,Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ,62000.0,0.0,1,62000.0,400.0,FALSE,400,0.0,1.0,160000.0,155.00,High
Ice Cream & Desserts,Veeba Truly Tomato Ketchup,9900.0,20.0,6,7900.0,500.0,FALSE,500,2000.0,0.9,250000.0,15.80,High
Ice Cream & Desserts,Ching's Secret Green Chilli Sauce,8500.0,4.0,1,8100.0,680.0,FALSE,680,400.0,0.9,462400.0,11.91,High
Ice Cream & Desserts,MTR Roasted Vermicelli ,5500.0,0.0,1,5500.0,400.0,FALSE,400,0.0,0.9,160000.0,13.75,High
Ice Cream & Desserts,Mother's Recipe Punjabi Teekha Mang Pickle,12000.0,10.0,4,10800.0,400.0,FALSE,400,1200.0,1.0,160000.0,27.00,High
Ice Cream & Desserts,Ching's Secret Hot Garlic Instant Noodles,11400.0,0.0,6,11400.0,480.0,FALSE,480,0.0,1.0,230400.0,23.75,High
Ice Cream & Desserts,Kellogg's Real Honey Corn Flakes,29000.0,7.0,5,26700.0,630.0,FALSE,630,2300.0,1.0,396900.0,42.38,High
Ice Cream & Desserts,ITC Master Chef Lebanese Falafel Kebab,13000.0,4.0,4,12400.0,230.0,FALSE,230,600.0,1.0,52900.0,53.91,High
Ice Cream & Desserts,Kelloggs Chocos Fills Double Chocolaty,18500.0,10.0,5,16500.0,250.0,FALSE,250,2000.0,1.0,62500.0,66.00,High
Ice Cream & Desserts,Organic India Apple Cider Vinegar,59500.0,9.0,2,53600.0,500.0,FALSE,500,5900.0,1.0,250000.0,107.20,High
Ice Cream & Desserts,Masala Oats Masala & Coriander ,19500.0,9.0,5,17600.0,500.0,FALSE,500,1900.0,1.0,250000.0,35.20,High
Ice Cream & Desserts,Ching's Secret  Noodles - Pad Thai Lemongras,20000.0,0.0,5,20000.0,130.0,FALSE,130,0.0,1.0,16900.0,153.85,High
Ice Cream & Desserts,Bagrrys Fruit and Nut Muesli with Cranberries,49900.0,0.0,5,49900.0,750.0,FALSE,750,0.0,1.0,562500.0,66.53,High
Ice Cream & Desserts,Kitchens Of India Yellow Dal Tadka,11000.0,30.0,6,7700.0,285.0,FALSE,285,3300.0,1.0,81225.0,27.02,High
Ice Cream & Desserts,Soulfull Vanilla Fills - Ragi Bites,16900.0,5.0,6,16000.0,250.0,FALSE,250,900.0,1.0,62500.0,64.00,High
Ice Cream & Desserts,Pantai Teriyaki Sauce with Garlic,32500.0,15.0,6,27600.0,200.0,FALSE,200,4900.0,1.0,40000.0,138.00,High
Ice Cream & Desserts,Whiskas Adult Pocket Tuna Cat Food,41000.0,0.0,1,41000.0,1200.0,FALSE,1,0.0,1.0,1200.0,34.17,High
Ice Cream & Desserts,Kitchens Of India Chicken Darbari ,20000.0,30.0,4,14000.0,285.0,FALSE,285,6000.0,1.0,81225.0,49.12,High
Ice Cream & Desserts,Soulfull Millet Muesli Fruit & Nut Almonds & Real Fruits,29900.0,10.0,6,26900.0,400.0,FALSE,400,3000.0,1.0,160000.0,67.25,High
Ice Cream & Desserts,Smith & Jones Red Pasta Sauce Mix,4000.0,0.0,6,4000.0,46.0,FALSE,46,0.0,1.0,2116.0,86.96,High
Ice Cream & Desserts,Kellogg's Muesli Nuts Delight,42500.0,9.0,3,38300.0,750.0,FALSE,750,4200.0,1.0,562500.0,51.07,High
Ice Cream & Desserts,Kitchens of India Dal Bukhara Gravy Mix,11000.0,30.0,6,7700.0,285.0,FALSE,285,3300.0,1.0,81225.0,27.02,High
Ice Cream & Desserts,The Whole Truth Peanut Butter - Sweetened & Crunchy,21500.0,20.0,6,17200.0,325.0,FALSE,325,4300.0,1.0,105625.0,52.92,High
Ice Cream & Desserts,Remia Mayonnaise,23000.0,0.0,6,23000.0,241.0,FALSE,241,0.0,1.0,58081.0,95.44,High
Ice Cream & Desserts,Ching's Secret Green Chilli Sauce,10500.0,0.0,6,10500.0,425.0,FALSE,425,0.0,1.0,180625.0,24.71,High
Ice Cream & Desserts,Bagrrys Fruit N Fibre Muesli - Strawberry,59500.0,0.0,1,59500.0,1000.0,FALSE,1,0.0,1.0,1000.0,59.50,High
Ice Cream & Desserts,Ching's Secret Tomato Oats Instant Soup,1500.0,0.0,3,1500.0,20.0,FALSE,20,0.0,1.0,400.0,75.00,Low
Ice Cream & Desserts,Kellogg's Special K Original Corn Flakes,14000.0,5.0,1,13300.0,290.0,FALSE,290,700.0,1.0,84100.0,45.86,High
Ice Cream & Desserts,Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade,28000.0,50.0,5,14000.0,175.0,FALSE,175,14000.0,1.0,30625.0,80.00,High
Ice Cream & Desserts,Tong Garden Wasabi Green Peas,17500.0,4.0,6,16700.0,150.0,FALSE,150,800.0,1.0,22500.0,111.33,High
Ice Cream & Desserts,Ching's Secret Red Chilli Sauce,10500.0,0.0,4,10500.0,440.0,FALSE,440,0.0,1.0,193600.0,23.86,High
Ice Cream & Desserts,Ching's Instant Hot and Sour Soup,5500.0,0.0,5,5500.0,55.0,FALSE,55,0.0,1.0,3025.0,100.00,High
Ice Cream & Desserts,Ching's Secret Noodles - Pad Thai Original,20000.0,0.0,6,20000.0,130.0,FALSE,130,0.0,1.0,16900.0,153.85,High
Ice Cream & Desserts,Aashirvaad Instant Meals - Khatta Meetha Pohaa With Millets,5500.0,30.0,5,3800.0,80.0,FALSE,80,1700.0,1.0,6400.0,47.50,High
Ice Cream & Desserts,Del Monte Black Sliced Olives,25000.0,0.0,1,25000.0,450.0,FALSE,450,0.0,1.0,202500.0,55.56,High
Ice Cream & Desserts,Kitchens Of India Murgh Methi,22000.0,30.0,5,15400.0,285.0,FALSE,285,6600.0,1.0,81225.0,54.04,High
Ice Cream & Desserts,Nestle Cerelac 5 Grains & Fruits Cereal,28800.0,0.0,6,28800.0,300.0,FALSE,300,0.0,1.0,90000.0,96.00,High
Ice Cream & Desserts,The Whole Truth - 5 Grain Muesli No Added Sugar,32500.0,20.0,6,26000.0,350.0,FALSE,350,6500.0,1.0,122500.0,74.29,High
Ice Cream & Desserts,Ching's Secret  Pad Thai Noodles Green Curry,20000.0,0.0,6,20000.0,130.0,FALSE,130,0.0,1.0,16900.0,153.85,High
Ice Cream & Desserts,Aashirvaad Suji Halwa With Jaggery,7500.0,0.0,6,7500.0,70.0,FALSE,70,0.0,1.0,4900.0,107.14,High
Ice Cream & Desserts,Mother's Recipe Mango Pickle ,12000.0,0.0,1,12000.0,400.0,FALSE,400,0.0,1.0,160000.0,30.00,High
Ice Cream & Desserts,Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,20000.0,0.0,6,20000.0,130.0,FALSE,130,0.0,1.0,16900.0,153.85,High
Ice Cream & Desserts,Kellogg's Special K Original Corn Flakes,39900.0,11.0,6,35500.0,900.0,FALSE,900,4400.0,1.0,810000.0,39.44,High
Ice Cream & Desserts,Knorr Sweet Corn Chicken Soup,5500.0,0.0,2,5500.0,42.0,FALSE,42,0.0,1.0,1764.0,130.95,High
Ice Cream & Desserts,Ching's Secret Tomato Soup,5500.0,0.0,6,5500.0,55.0,FALSE,55,0.0,1.0,3025.0,100.00,High
Ice Cream & Desserts,Funfoods Peanut Butter Creamy,16900.0,0.0,1,16900.0,400.0,FALSE,400,0.0,1.0,160000.0,42.25,High
Ice Cream & Desserts,Japanese Choice Udon Noodles,29500.0,9.0,6,26600.0,250.0,FALSE,250,2900.0,1.0,62500.0,106.40,High
Ice Cream & Desserts,Kelloggs Muesli - With 22% Fruit Magic,32000.0,10.0,5,28800.0,500.0,FALSE,500,3200.0,1.0,250000.0,57.60,High
Ice Cream & Desserts,Dabur Hommade - Kalonji Tamatar Ki Chutney,6500.0,6.0,6,6100.0,200.0,FALSE,200,400.0,1.0,40000.0,30.50,High
Ice Cream & Desserts,Kitchens Of India Dal Makhani,11000.0,30.0,1,7700.0,285.0,FALSE,285,3300.0,1.0,81225.0,27.02,High
Ice Cream & Desserts,Aashirvaad Suji Halwa With Jaggery,5500.0,30.0,6,3800.0,80.0,FALSE,80,1700.0,1.0,6400.0,47.50,High
Ice Cream & Desserts,Del Monte Green Chili Sauce,5500.0,0.0,3,5500.0,190.0,FALSE,190,0.0,1.0,36100.0,28.95,High
Ice Cream & Desserts,Pedigree Dog Food Adult Chicken & Veg,66000.0,10.0,1,59400.0,3000.0,FALSE,3,6600.0,1.0,9000.0,19.80,High
Ice Cream & Desserts,Kellogg's Original Corn Flakes,18500.0,5.0,6,17500.0,475.0,FALSE,475,1000.0,1.0,225625.0,36.84,High
Ice Cream & Desserts,Pedigree Puppy Dry Dog Food Food Chicken & Milk,69000.0,6.0,2,64800.0,3000.0,FALSE,3,4200.0,1.0,9000.0,21.60,High
Ice Cream & Desserts,Kitchens Of India Rajma Masala,11000.0,30.0,5,7700.0,285.0,FALSE,285,3300.0,1.0,81225.0,27.02,High
Ice Cream & Desserts,Kitchen Of India Ready-To-Eat Pindi Channa,11000.0,30.0,2,7700.0,285.0,FALSE,285,3300.0,1.0,81225.0,27.02,High
Ice Cream & Desserts,Figaro Pitted Black Olive ,17900.0,0.0,6,17900.0,450.0,FALSE,450,0.0,1.0,202500.0,39.78,High
Ice Cream & Desserts,Cantina Tabasco Red Sauce,14000.0,15.0,6,11900.0,60.0,FALSE,60,2100.0,1.0,3600.0,198.33,High
Ice Cream & Desserts,Mother's Recipe Pickle - Mixed,14900.0,26.0,6,10900.0,500.0,FALSE,500,4000.0,1.0,250000.0,21.80,High
Ice Cream & Desserts,Nestle Cerelac Baby Cereal with Milk 5 Grains & Vegetables from 18 to 24 Month,27900.0,0.0,5,27900.0,300.0,FALSE,300,0.0,1.0,90000.0,93.00,High
Ice Cream & Desserts,Mother's Recipe Tamarind Paste,5000.0,2.0,2,4900.0,200.0,FALSE,200,100.0,1.0,40000.0,24.50,High
Ice Cream & Desserts,Pedigree Meat Jerky Adult Dog Treat Barbecued Chicken,14000.0,20.0,6,11200.0,80.0,FALSE,80,2800.0,1.0,6400.0,140.00,High
Ice Cream & Desserts,Veeba Peri Peri Sauce,16100.0,0.0,6,16100.0,300.0,FALSE,300,0.0,1.0,90000.0,53.67,High
Ice Cream & Desserts,Pantai Sriracha Yellow Chilli Sauce,22500.0,15.0,6,19100.0,200.0,FALSE,200,3400.0,1.0,40000.0,95.50,High
Ice Cream & Desserts,Praakritik Organic Jumbo Rolled Oats,19000.0,11.0,6,16900.0,500.0,FALSE,500,2100.0,1.0,250000.0,33.80,High
Ice Cream & Desserts,Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles,12300.0,0.0,6,12300.0,600.0,FALSE,600,0.0,1.0,360000.0,20.50,High
Ice Cream & Desserts,Pantai Spring Roll Sauce,27500.0,10.0,6,24500.0,200.0,FALSE,200,3000.0,1.0,40000.0,122.50,High
Ice Cream & Desserts,MTR Vermicelli Payasam,7500.0,0.0,6,7500.0,180.0,FALSE,180,0.0,1.0,32400.0,41.67,High
Ice Cream & Desserts,Bagrrys Corn Flakes,35000.0,0.0,6,35000.0,880.0,FALSE,800,0.0,1.0,704000.0,39.77,High
Ice Cream & Desserts,MTR Ready To Eat Palak Paneer ,13500.0,11.0,6,12000.0,300.0,FALSE,300,1500.0,1.0,90000.0,40.00,High
Ice Cream & Desserts,Del Monte Red Chili Sauce,5500.0,0.0,5,5500.0,190.0,FALSE,190,0.0,1.0,36100.0,28.95,High
Ice Cream & Desserts,Kitchens of India Mutter Paneer Mix,12000.0,30.0,4,8400.0,285.0,FALSE,285,3600.0,1.0,81225.0,29.47,High
Ice Cream & Desserts,Pantai Green Curry Paste,6000.0,6.0,6,5600.0,50.0,FALSE,50,400.0,1.0,2500.0,112.00,High
Ice Cream & Desserts,The Laughing Cow Cheese Spread Plain,11000.0,0.0,6,11000.0,180.0,FALSE,180,0.0,1.0,32400.0,61.11,High
Ice Cream & Desserts,MTR Dal Fry,11000.0,0.0,5,11000.0,300.0,FALSE,300,0.0,1.0,90000.0,36.67,High
Ice Cream & Desserts,Pantai Fish Sauce,27500.0,14.0,6,23400.0,200.0,FALSE,200,4100.0,1.0,40000.0,117.00,High
Ice Cream & Desserts,Cantina Beans Mexican Beans,25000.0,14.0,6,21300.0,410.0,FALSE,410,3700.0,1.0,168100.0,51.95,High
Ice Cream & Desserts,Ching's Secret Manchurian Instant Noodle,11400.0,0.0,6,11400.0,480.0,FALSE,480,0.0,1.0,230400.0,23.75,High
Ice Cream & Desserts,Remia Salad Italian Dressing ,23000.0,0.0,6,23000.0,250.0,FALSE,250,0.0,1.0,62500.0,92.00,High
Ice Cream & Desserts,Yummiez Veg Cheese Fingers Pouch,23000.0,0.0,4,23000.0,400.0,FALSE,400,0.0,1.0,160000.0,57.50,High
Ice Cream & Desserts,MTR Dal Makhani,11000.0,0.0,4,11000.0,300.0,FALSE,300,0.0,1.0,90000.0,36.67,High
Ice Cream & Desserts,MTR Ready to Eat Pav Bhaji,11000.0,0.0,6,11000.0,300.0,FALSE,300,0.0,1.0,90000.0,36.67,High
Ice Cream & Desserts,Weikfield Tomato Salsa Instant Pasta,2500.0,0.0,1,2500.0,77.0,FALSE,77,0.0,1.0,5929.0,32.47,Medium
Ice Cream & Desserts,Nestlé CERELAC Baby Cereal with Milk,27200.0,0.0,1,27200.0,300.0,FALSE,300,0.0,1.0,90000.0,90.67,High
Ice Cream & Desserts,Remia Salad Caesar Dressing,25000.0,0.0,6,25000.0,250.0,FALSE,250,0.0,1.0,62500.0,100.00,High
Ice Cream & Desserts,Bagrrys Fruit N Fibre Muesli Mixed Fruit,33000.0,0.0,6,33000.0,500.0,FALSE,500,0.0,1.0,250000.0,66.00,High
Ice Cream & Desserts,MTR Paneer Butter Masala & Veg Pulao,17500.0,9.0,4,15800.0,375.0,FALSE,375,1700.0,1.0,140625.0,42.13,High
Ice Cream & Desserts,Sundrop Cocoa Nut Hazelnut Chocolatey Spread,12000.0,0.0,6,12000.0,160.0,FALSE,160,0.0,1.0,25600.0,75.00,High
Ice Cream & Desserts,Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip,28000.0,50.0,6,14000.0,175.0,FALSE,175,14000.0,1.0,30625.0,80.00,High
Ice Cream & Desserts,Pedigree Dog Food Adult Meat & Rice,66000.0,7.0,2,60800.0,3000.0,FALSE,3,5200.0,1.0,9000.0,20.27,High
Ice Cream & Desserts,Pantai Sriracha Green Chilli Sauce,22500.0,15.0,6,19100.0,200.0,FALSE,200,3400.0,1.0,40000.0,95.50,High
Ice Cream & Desserts,Pantai Chilli Garlic Sauce,27500.0,14.0,6,23400.0,200.0,FALSE,200,4100.0,1.0,40000.0,117.00,High
Ice Cream & Desserts,Pantai Dark Soy Sauce,27500.0,14.0,6,23400.0,200.0,FALSE,200,4100.0,1.0,40000.0,117.00,High
Ice Cream & Desserts,Yoga Bar Peanut Butter Dark Chocolate Jar,24900.0,0.0,4,24900.0,400.0,FALSE,400,0.0,1.0,160000.0,62.25,High
Ice Cream & Desserts,Cantina Tabasco Green Sauce,14000.0,15.0,6,11900.0,60.0,FALSE,60,2100.0,1.0,3600.0,198.33,High
Ice Cream & Desserts,Pantai Pad Thai Sauce (Non-Veg),32500.0,9.0,5,29300.0,200.0,FALSE,200,3200.0,1.0,40000.0,146.50,High
Ice Cream & Desserts,Pantai Sweet Chilli Sauce,27500.0,14.0,6,23400.0,200.0,FALSE,200,4100.0,1.0,40000.0,117.00,High
Ice Cream & Desserts,Ching's Secret Schezwan Instant Noodle,11400.0,0.0,6,11400.0,480.0,FALSE,480,0.0,1.0,230400.0,23.75,High
Ice Cream & Desserts,Yummiez Chicken Garlic Fingers Pouch,25000.0,0.0,5,25000.0,400.0,FALSE,400,0.0,1.0,160000.0,62.50,High
Ice Cream & Desserts,Pediasure Premium Chocolate Powdered Health Drink,61000.0,0.0,2,61000.0,400.0,FALSE,400,0.0,1.0,160000.0,152.50,High
Ice Cream & Desserts,Chings Secret Hot Garlic Instant Noodles,9100.0,0.0,6,9100.0,60.0,FALSE,60,0.0,1.0,3600.0,151.67,High
Ice Cream & Desserts,Godrej Yummiez Cheese Corn Nuggets ,23000.0,0.0,4,23000.0,400.0,FALSE,400,0.0,1.0,160000.0,57.50,High
Ice Cream & Desserts,Pantai Hot Chilli Sauce,27500.0,14.0,6,23400.0,200.0,FALSE,200,4100.0,1.0,40000.0,117.00,High
